SourceRowIndex,Building#,ID,BuildingHeight,BuildingWidth,Altitude,AveNoise,temp,prec,win,NestCount,HigherNestCount,Split,Cluster
48,Chaoyang Jiayuan 1,11741,18.0,87.0,639.0,53.0,15.2,62.83,2.7,4,0,train,0
49,Chaoyang Jiayuan 2,11741,18.0,87.0,639.0,53.0,15.2,62.83,2.7,3,0,train,0
50,Chaoyang Jiayuan 3,11741,18.0,87.0,639.0,53.0,15.2,62.83,2.7,2,0,train,0
58,Chenxi Garden,11438,18.0,69.0,701.0,46.0,17.52,58.83,2.53,6,1,train,0
62,Chengdong Community,11138,18.0,80.0,921.0,50.0,16.53,59.5,2.43,4,0,train,0
63,City Garden,11437,20.1,62.5,253.4,50.2,19.3,64.22,2.555,16,1,train,1
64,Shengdi Lijiang Building 3,11438,36.0,40.0,89.0,60.0,20.12,66.17,2.32,46,1,train,1
65,Shengdi Lijiang Building 4,11438,54.0,50.0,89.0,71.0,20.12,66.17,2.32,50,1,train,1
67,Chunfeng Jiayuan,10635,24.0,60.0,1119.0,41.7,17.37,71.5,1.68,2,0,train,3
68,Cuiyuan Court,11338,78.0,53.0,805.0,53.0,16.85,56.17,2.52,7,1,train,4
69,Derong Dijing,11739,84.0,25.0,0.0,20.0,19.85,80.5,2.45,24,1,train,1
70,Derong Garden,11438,63.0,56.0,652.0,50.0,17.8,58.67,2.55,10,1,train,4
71,Deyejü Garden No.12,11438,21.0,40.0,690.0,57.0,17.77,59.0,2.57,1,0,train,0
72,Deyejü Garden No.13,11438,21.0,40.0,690.0,57.0,17.77,59.0,2.57,3,0,train,0
73,Dishuiju Community,11338,18.5,20.0,798.0,30.0,17.1,55.5,2.53,1,0,train,0
74,Dianzi Chanpin Jianyansuo Family Quarters,11338,21.0,20.0,750.0,60.0,17.08,54.83,2.43,1,0,train,0
75,Dongcheng Shui'an,11438,21.0,32.0,650.0,60.0,17.75,59.0,2.53,21,1,train,0
76,Dongcheng Shui'an Building 3,11438,90.0,20.0,615.0,67.0,17.75,59.0,2.53,3,0,train,4
77,Dongfang Garden B-1,10538,18.0,70.0,1200.76,56.0,16.22,24.83,2.43,4,0,train,2
78,Dongfang Jiayuan Building 15,10538,18.5,50.0,1212.26,50.0,16.32,24.5,2.53,4,0,train,2
79,Dongfang Jiayuan Building 16,10538,18.5,60.0,1194.63,58.0,16.32,24.5,2.53,8,1,train,2
82,Dongfeng Community 1,11639,36.0,70.0,0.0,62.0,20.15,66.83,2.63,8,1,train,1
83,Dongfeng Community 2,11639,36.0,70.0,0.0,59.0,20.15,66.83,2.63,1,0,train,1
88,Dongsheng Community Building 9,10638,19.0,50.0,1068.0,56.0,16.25,25.17,2.68,14,1,train,2
89,Dongxing Street No.50,10437,12.0,60.0,1685.0,51.0,15.08,30.0,2.47,2,0,train,2
91,Dongyuan East Area,11438,21.0,25.0,671.0,47.0,17.77,59.0,2.57,8,1,train,0
92,Erdian Community,11338,39.0,20.0,776.0,51.0,17.17,53.83,2.47,5,1,train,0
93,Fangzhi Jinchukou Dormitory,11338,21.0,20.0,780.0,62.0,17.1,55.5,2.53,2,0,train,0
94,Fangzhi Road No.155 Building 2,10437,21.0,40.0,1702.0,34.0,15.05,30.5,2.45,1,0,train,2
95,Fangzhi Road No.155 Building 1,10437,24.0,20.0,1686.0,50.0,15.05,30.5,2.45,1,0,train,2
96,Feitian Family Quarters Building 2,10436,18.0,50.0,1525.49,49.0,16.2,43.0,1.77,4,0,train,3
100,Furong Garden Building 1,10638,18.0,50.0,1068.0,42.0,16.35,25.67,2.65,1,0,train,2
101,Fumen Xiangxielishe,10635,30.0,21.0,1104.0,46.7,17.37,71.5,1.68,3,0,train,3
102,Fuxingyuan Building 34,10538,18.0,50.0,1178.56,57.0,15.93,24.5,2.67,1,0,train,2
103,Fuxingyuan Building 40,10538,18.0,60.0,1179.31,53.0,15.93,24.5,2.67,2,0,train,2
104,Fuxingyuan Building 46,10538,18.0,60.0,1183.08,54.0,15.93,24.5,2.67,4,0,train,2
105,Fuxingyuan Building 49,10538,31.0,45.0,1174.75,56.0,15.93,24.5,2.67,1,0,train,2
106,Fuxingyuan Building 59,10538,31.0,60.0,1167.57,57.0,16.1,24.83,2.48,3,0,train,2
108,Fuli City No.1,11438,54.0,40.0,670.0,57.0,17.77,59.0,2.57,12,1,train,0
109,Fuli City No.2,11438,66.0,40.0,670.0,57.0,17.77,59.0,2.57,2,0,train,4
110,Fuli Jianianhua,11438,78.0,40.0,687.0,54.0,17.7,59.67,2.47,19,1,train,4
111,Fuqiang Community,11842,18.0,43.0,867.0,63.0,14.23,59.0,2.85,2,0,train,0
112,Fuyan Hotel,10536,12.0,25.0,1917.0,56.0,12.22,51.33,2.12,1,0,train,3
113,GreenTree Inn Hotel,11138,18.0,60.0,944.0,60.0,16.63,59.33,2.45,7,1,train,0
114,Gengjiazhuang Residential Area Building 10,10436,21.0,30.0,1471.0,44.0,16.3,42.83,1.8,1,0,train,3
115,Gengjiazhuang Residential Area Building 11,10436,18.0,20.0,1502.0,45.0,16.3,42.83,1.8,1,0,train,3
116,Gengjiazhuang Residential Community Building 1,10436,25.0,30.0,1483.0,33.0,16.3,42.83,1.8,1,0,train,3
117,Gongnong Road Building 81,10437,18.5,40.0,1671.0,57.0,15.08,30.0,2.47,1,0,train,2
118,Gonghang Community,10635,20.0,100.0,1169.0,51.0,17.32,71.5,1.68,3,0,train,3
119,Gonganju Community,11138,18.0,14.0,937.0,45.0,16.77,59.33,2.42,4,0,train,0
120,Gonglu Community 1,11338,15.0,77.0,777.0,50.0,16.85,56.17,2.52,9,1,train,0
121,Gonglu Community 2,11338,15.0,77.0,777.0,50.0,16.85,56.17,2.52,3,0,train,0
122,Gongdianju Community Building 20,10437,42.0,20.0,1687.0,52.0,15.08,30.0,2.47,1,0,train,2
125,Guangyuan Community 1,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,1,0,train,0
126,Guangyuan Community 2,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,5,1,train,0
127,Guangyuan Community 3,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,2,0,train,0
128,Guomai Aocheng 1,11537,21.0,17.0,19.0,46.0,20.33,66.67,2.5,11,1,train,1
129,Guomai Aocheng 2,11537,21.0,17.0,26.0,53.0,20.33,66.67,2.5,15,1,train,1
130,Guomai Aocheng 3,11537,21.0,17.0,27.0,54.0,20.33,66.67,2.5,9,1,train,1
131,Guomai Aocheng 4,11537,21.0,17.0,30.0,54.0,20.33,66.67,2.5,11,1,train,1
132,Guomai Aocheng 5,11637,21.0,17.0,30.0,55.0,20.18,69.0,2.67,10,1,train,1
134,Guomai Aocheng 7,11537,21.0,17.0,41.0,53.0,20.33,66.67,2.5,5,1,train,1
135,Guomai Aocheng 8,11537,21.0,17.0,25.0,75.0,20.33,66.67,2.5,3,0,train,1
136,Guomai Aocheng 9,11537,21.0,17.0,29.0,69.0,20.33,66.67,2.5,9,1,train,1
137,Hailongwan Building 6,11438,81.0,70.0,55.0,57.0,20.17,66.83,2.32,21,1,train,1
138,Haitian Hotel 1,10536,21.0,75.0,1867.0,44.0,12.27,51.83,2.02,4,0,train,3
139,Haitian Hotel 2,10536,21.0,75.0,1867.0,51.0,12.27,51.83,2.02,2,0,train,3
142,Heping Street No.106,11138,18.0,50.0,907.0,62.0,16.8,58.17,2.48,5,1,train,0
143,Hedong Community,11138,21.0,50.0,925.0,49.0,16.7,59.83,2.43,12,1,train,0
144,Hexia Xincun,11438,18.0,25.0,681.0,44.0,17.65,59.0,2.58,8,1,train,0
145,Hexia Xincun 10,11438,18.0,25.0,682.0,49.0,17.65,58.83,2.58,12,1,train,0
151,Hengda Huafu,11138,102.0,58.0,986.0,48.0,16.6,60.0,2.43,7,1,train,4
152,Hengda Xincheng Building 1,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,2,0,train,4
153,Hengda Xincheng Building 3,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,3,0,train,4
154,Hengda Xincheng Building 4,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,5,1,train,4
155,Honghe Community,11438,90.0,40.0,95.0,66.0,20.13,66.17,2.32,19,1,train,1
161,Houwang Street Building 8,11338,18.0,110.0,782.0,50.0,17.13,52.67,2.47,2,0,train,0
166,Huafa Xincheng Building 18,11041,55.0,70.0,1072.0,56.0,15.47,38.0,3.13,3,0,train,2
167,Huafu Mingdi 1,11538,78.0,50.0,57.0,54.0,20.15,66.0,2.42,13,1,train,1
168,Huafu Mingdi 2,11538,78.0,50.0,57.0,54.0,20.15,66.0,2.42,9,1,train,1
169,Huaxia Dijiu Garden,11740,36.0,20.0,8.0,30.0,19.82,81.17,2.47,13,1,train,1
171,Huanbao Community,11338,32.0,70.0,781.0,49.0,17.08,54.83,2.43,7,1,train,0
173,Huanghe Garden Building 12,10538,18.0,40.0,1187.38,49.0,15.92,24.17,2.67,2,0,train,2
174,Huanghe Garden Building 14,10538,15.0,80.0,1179.73,43.0,16.02,24.17,2.67,2,0,train,2
175,Huanghe Garden Building 30,10538,15.0,60.0,1184.99,52.0,15.92,24.17,2.67,1,0,train,2
176,Huanghe Garden Building 35,10538,18.0,50.0,1179.16,51.0,15.92,24.17,2.67,2,0,train,2
177,Huanghe Garden Building 37,10538,18.0,60.0,1202.14,44.0,15.92,24.17,2.67,2,0,train,2
178,Huanghe Garden Building 39,10538,18.0,60.0,1187.98,42.0,15.92,24.17,2.67,1,0,train,2
179,Huanghe Garden Building 41,10538,18.0,60.0,1181.13,55.0,16.02,24.17,2.67,1,0,train,2
180,Huanghe Garden Building 51,10538,18.0,70.0,1192.59,38.0,16.02,24.17,2.67,2,0,train,2
181,Huanghe Garden Building 53,10538,18.0,30.0,1190.82,43.0,16.02,24.17,2.67,1,0,train,2
182,Huanghe Garden Building 58,10538,18.0,60.0,1192.37,45.0,15.92,24.17,2.67,4,0,train,2
183,Huanghe Garden Building 59,10538,18.0,60.0,1191.43,43.0,15.92,24.17,2.67,3,0,train,2
184,Huanghe Garden Building 86,10538,18.0,60.0,1181.45,56.0,15.92,24.17,2.67,2,0,train,2
185,Huifeng Garden Building 12,10638,18.5,80.0,1087.0,45.0,16.35,25.67,2.65,2,0,train,2
186,Huifengyuan Court,11338,95.0,120.0,828.0,54.0,16.97,52.33,2.47,10,1,train,4
187,Huihua College Dormitory Building 8,11438,39.0,40.0,76.0,58.0,20.48,68.5,2.53,11,1,train,1
189,Huochang Road Community Building 122,10437,18.0,30.0,1698.25,45.0,14.87,30.17,2.45,3,0,train,2
190,Huochang Road Community Building 138,10437,18.0,60.0,1700.1,49.0,14.87,30.17,2.45,4,0,train,2
191,Huochang Road Community Building 96,10437,18.0,40.0,1696.74,56.0,14.87,30.17,2.45,4,0,train,2
192,Jixiang Ju,11138,21.0,35.0,939.0,52.0,16.77,59.33,2.42,8,1,train,0
193,Jixiangyuan Court,11438,93.0,49.0,716.0,52.0,17.8,58.67,2.55,7,1,train,4
194,Jixiang Meidi North Area,11338,92.0,125.0,786.0,54.0,16.97,52.67,2.47,9,1,train,4
195,Jixiang Meidi South Area,11338,92.0,50.0,794.0,53.0,16.97,52.33,2.47,1,0,train,4
196,Jishengju Family Building,11842,21.0,35.0,856.0,67.0,14.2,59.17,2.88,1,0,train,0
197,Jiashuyuan (Family Quarters),11138,18.0,50.0,931.0,54.0,16.77,59.17,2.43,7,1,train,0
198,Jiayuan Community Building 1,10638,18.0,12.0,1078.0,43.0,16.23,25.67,2.7,3,0,train,2
199,Jiayuan Community Building 20,10638,18.0,50.0,1097.0,44.0,16.23,25.67,2.7,4,0,train,2
200,Jiayuan Community Building 2,10638,18.0,70.0,1090.0,44.0,16.23,25.67,2.7,6,1,train,2
201,Jianchayuan Community,11338,30.0,64.0,776.0,47.0,17.07,52.83,2.47,7,1,train,0
203,Jiangnan Shuixiang Area A Building 3,10638,20.0,80.0,1106.0,46.0,16.35,25.67,2.67,6,1,train,2
204,Jiangnan Shuixiang Area B Building 16,10638,15.0,90.0,1085.0,46.0,16.37,25.5,2.72,3,0,train,2
205,Jiangnan Shuixiang Area B Building 17,10638,19.0,110.0,1078.0,51.0,16.37,25.5,2.72,7,1,train,2
206,Jiangnan Shuixiang Area B Building 5,10638,32.0,100.0,1081.0,51.0,16.37,25.5,2.72,4,0,train,2
207,Jiaoyuju (Education Bureau),11138,18.0,63.0,915.0,65.0,16.77,59.17,2.43,5,1,train,0
208,Jindi Jiajing Garden Factory Building,11438,9.0,20.0,683.0,64.0,17.7,60.33,2.53,1,0,train,0
209,Jinhe Community,11538,84.0,40.0,67.0,51.0,20.18,66.17,2.43,17,1,train,1
211,Jinlun Yiyuan Community Building 1,10436,24.0,80.0,1506.0,55.0,15.22,44.17,1.92,1,0,train,3
212,Jinlun Yiyuan Community Building G7,10436,48.0,30.0,1508.0,55.0,15.22,44.17,1.92,2,0,train,3
213,Jinrongjie Community,11741,18.0,37.0,647.0,54.0,15.12,63.33,2.72,3,0,train,0
214,Jinxiu Huating,11842,19.0,36.66666667,846.3333333,53.33333333,14.2,59.17,2.88,5,1,train,0
215,Jinxiuyuan 1,11339,18.0,70.0,1042.0,52.0,15.0,55.83,2.78,5,1,train,0
216,Jinxiuyuan 2,11339,18.0,70.0,1042.0,52.0,15.0,55.83,2.78,4,0,train,0
217,Jinze Yuan Old 6,11338,21.0,20.0,779.0,42.0,17.18,56.83,2.65,3,0,train,0
218,Jinsong Xinjing,11338,82.5,30.0,785.0,53.0,17.08,55.83,2.55,5,1,train,4
219,Jingdu Huayuan,11338,45.0,80.0,791.0,59.0,16.97,52.33,2.47,4,0,train,0
220,Jinghuayuan Building 2,10638,21.0,60.0,1094.0,56.0,16.35,25.83,2.68,20,1,train,2
226,Ju'an Community Building 26,10436,18.0,70.0,1496.01,49.0,16.12,43.0,1.82,5,1,train,3
229,Junlei Alley,10635,21.0,45.0,1108.0,54.0,17.32,71.5,1.68,4,0,train,3
230,Kaiyue Hotel,10536,19.0,20.0,1879.0,51.0,12.22,51.33,2.12,2,0,train,3
231,Kangda Community,11438,21.0,54.0,713.0,50.0,17.52,58.83,2.53,7,1,train,0
233,Kangmin Garden Building 11,10638,19.0,70.0,1072.0,56.0,16.35,26.0,2.63,6,1,train,2
234,Kangmin Garden Building 16,10638,19.0,70.0,1096.0,49.0,16.35,26.0,2.63,4,0,train,2
235,Kangmin Garden Building 8,10638,19.0,70.0,1077.0,57.0,16.35,26.0,2.63,3,0,train,2
236,Kemingyuan Court,11438,21.0,61.0,755.0,47.0,17.47,60.33,2.48,8,1,train,0
237,Keyunzhan Family Quarters Building 1,10436,23.0,60.0,1494.04,48.0,16.17,43.5,1.7,8,1,train,3
238,Kongtong District Water and Soil Conservation Bureau,10736,21.0,27.0,1302.0,42.9,15.03,60.5,2.08,3,0,train,3
241,Lanshi Run'an Community Building 761,10436,24.0,80.0,1502.16,47.0,16.2,40.67,2.15,7,1,train,3
242,Lanshi Run'an Community Building 833,10436,24.0,80.0,1493.94,49.0,16.2,40.67,2.15,6,1,train,3
243,Lantian Jiayuan,10635,47.5,45.0,1242.0,53.0,17.18,71.0,1.73,1,0,train,3
244,Lantie Fuyuan Building 46,10436,24.0,60.0,1496.0,45.0,16.2,43.17,1.82,2,0,train,3
245,Lantie Fuyuan Community Building 47,10436,24.0,40.0,1487.0,48.0,16.2,43.17,1.82,1,0,train,3
246,Lantie Fuyuan Community Building 50,10436,24.0,50.0,1480.0,48.0,16.2,43.17,1.82,2,0,train,3
247,Lantie Xinle Community Building 45,10436,21.5,30.0,1496.0,45.0,16.2,43.17,1.82,1,0,train,3
248,Lantie Xinle Community Building 46,10436,18.0,60.0,1474.0,51.0,16.2,43.17,1.82,1,0,train,3
249,Lantie Xinle Community Building 48,10436,18.0,10.0,1487.0,51.0,16.2,43.17,1.82,1,0,train,3
250,Lantie Xinle Community Building 50,10436,18.0,60.0,1474.5,47.0,16.2,43.17,1.82,2,0,train,3
251,Lantie Xinle Community Building 60,10436,24.0,50.0,1479.0,42.0,16.2,43.17,1.82,1,0,train,3
252,Lanyuan Community,11640,21.0,100.0,52.0,66.0,19.5,77.83,2.47,18,1,train,1
253,Lanzhou University Family Quarters Building 22,10436,55.0,30.0,1510.15,66.0,16.28,42.83,1.8,11,1,train,3
254,Lanzhou University Graduate Dormitory Building 4,10436,21.0,50.0,1481.24,66.0,16.2,43.0,1.77,5,1,train,3
255,Lanjun Lüdu Building 5,11438,24.0,40.0,47.0,51.0,19.97,65.83,2.3,19,1,train,1
259,Liliu Residential Community,11138,18.0,70.0,947.0,54.0,16.8,58.0,2.5,7,1,train,0
261,Lijinyuan Building 9,10638,20.5,40.0,1090.0,56.0,16.35,25.67,2.67,5,1,train,2
262,Lijingyuan Building 4,10538,19.0,50.0,1196.47,49.0,16.42,24.17,2.73,3,0,train,2
269,Lianhua Jiayuan,11138,21.0,81.0,935.0,51.0,16.65,59.67,2.42,6,1,train,0
270,Liangcheng Yijing,11438,78.0,100.0,63.0,61.0,20.25,66.67,2.33,20,1,train,1
271,Liang'erzhuang Community 1,11537,15.0,18.36363636,33.18181818,49.90909091,20.3,66.5,2.52,34,1,train,1
272,Liang'erzhuang Community 2,11537,15.0,16.4,27.4,55.2,20.3,66.5,2.52,11,1,train,1
273,Liang'erzhuang Community 3,11537,18.6,14.6,26.0,54.6,20.3,66.5,2.52,16,1,train,1
274,Liang'erzhuang Community 4,11537,15.0,11.0,34.0,48.0,20.3,66.5,2.52,9,1,train,1
275,Liang'erzhuang Community 5,11537,15.0,11.0,35.0,54.0,20.3,66.5,2.52,4,0,train,1
276,Linhui Jiayuan Building 5,10638,18.5,50.0,1073.0,59.0,16.23,25.67,2.7,3,0,train,2
287,Liuhu Township Government Family Quarters,10736,18.0,58.0,1334.0,46.0,15.03,60.5,2.08,2,0,train,3
288,Longfeng Community,11138,18.0,50.0,937.0,47.0,16.77,59.33,2.42,7,1,train,0
289,Longjuxuan Court,11138,21.0,67.0,925.0,53.0,16.53,59.67,2.45,5,1,train,0
290,Longquan Garden East Area,11438,39.0,60.0,74.0,63.0,20.07,66.33,2.28,18,1,train,1
294,Longting Jiayuan Building 3,10437,35.0,80.0,1700.46,55.0,15.02,30.67,2.48,5,1,train,2
295,Longting Jiayuan Building 7,10437,20.0,70.0,1703.55,48.0,15.02,30.67,2.48,3,0,train,2
297,Luoma Shijia,11138,99.0,70.0,893.0,57.0,16.85,59.67,2.4,8,1,train,4
298,Luoyu Community 1,10635,15.0,28.0,1112.0,40.6,16.18,70.67,1.8,3,0,train,3
299,Luoyu Community 2,10635,15.0,45.0,1112.0,37.0,17.32,71.5,1.68,5,1,train,3
300,Luoyu Community 27,10635,15.0,25.0,1109.0,51.0,17.32,71.5,1.68,2,0,train,3
301,Luoyu Community 3,10635,15.0,30.0,1114.0,42.3,17.37,71.5,1.68,3,0,train,3
302,Meiyuan Community 1,11540,18.0,55.0,909.0,33.0,15.2,55.83,2.85,1,0,train,2
303,Meiyuan Community 2,11540,18.0,55.0,909.0,37.0,15.2,55.83,2.85,1,0,train,2
304,Meiyuan Community 3,11540,18.0,55.0,909.0,37.0,15.2,55.83,2.85,2,0,train,2
305,Meidu Hotel,10237,16.0,30.0,2328.0,60.0,12.48,49.0,2.22,1,0,train,3
306,Meijing Huating,11138,27.0,55.0,943.0,67.0,16.62,60.0,2.43,6,1,train,0
307,Meili Jiayuan 1,10237,15.0,40.0,2236.0,50.0,12.37,47.83,2.5,2,0,train,3
308,Meili Jiayuan 2,10237,18.0,50.0,2285.0,51.0,12.37,47.83,2.5,1,0,train,3
309,Meili City Garden Building 9,10538,19.0,80.0,1196.5,50.0,16.35,24.83,2.47,2,0,train,2
310,Meili Xincun Building 1,10538,18.0,80.0,1148.68,48.0,16.35,24.83,2.47,1,0,train,2
313,Meishu Shufa Chuangzuo Zhanshi Jidi,10436,15.5,20.0,1482.0,56.0,16.2,43.17,1.82,1,0,train,3
314,Minsheng Garden Building 2,10538,17.0,60.0,1194.67,54.0,16.23,25.0,2.47,6,1,train,2
315,Mingshi Haoting,11438,66.0,20.0,700.0,67.0,17.72,59.17,2.48,3,0,train,4
316,Mingshi Gongguan,11438,43.0,12.0,98.0,63.0,19.68,64.33,2.32,8,1,train,1
322,Mushan Community,11338,84.0,30.0,785.0,49.0,16.85,56.17,2.52,5,1,train,4
323,Nanqiao Tingyuan Building 1,10638,24.0,50.0,1076.0,60.0,16.35,26.0,2.62,3,0,train,2
324,Nanyiyuan Court,11138,21.0,80.0,902.0,52.0,16.85,59.67,2.4,7,1,train,0
325,Nanyuan Village Clinic,10237,15.0,54.0,2238.0,55.0,12.43,49.33,2.3,1,0,train,3
326,Nanyuan Xuefu,11438,18.0,30.0,665.0,51.0,17.65,58.83,2.55,6,1,train,0
327,Nanzhuang Community No.2,11438,21.0,30.0,682.0,60.0,17.45,60.5,2.4,1,0,train,0
328,Nanzhuang Community No.5,11438,21.0,30.0,682.0,60.0,17.45,60.5,2.4,1,0,train,0
329,Nanzhuang Community No.7,11438,21.0,30.0,682.0,60.0,17.45,60.5,2.4,3,0,train,0
330,Nanzhuangzi Village,10237,10.0,15.0,2221.0,38.0,12.3,48.33,2.3,1,0,train,3
331,Ningliyuan Court,10237,15.0,53.0,2220.0,42.0,12.42,49.0,2.22,2,0,train,3
332,Ningmeng Xiaozhen Building 1,11438,36.0,60.0,61.0,51.0,19.97,65.83,2.3,18,1,train,1
333,Nuanquan Garden,10736,57.0,35.0,1305.0,53.0,15.03,60.5,2.08,2,0,train,3
334,Nuanquan Garden 2,10736,57.0,36.0,1305.0,57.0,15.03,60.5,2.08,4,0,train,3
336,Qile Jiayuan,11940,20.0,60.0,-7.0,54.0,17.02,85.83,4.0,8,1,train,0
337,Qixin Jiayuan,11538,15.0,45.0,46.0,48.0,20.15,61.5,2.43,12,1,train,1
339,Qingyiyuan Court,10237,18.0,43.0,2227.0,50.0,12.38,48.83,2.17,1,0,train,3
340,Qingyuan Fengjing Building 26,10638,33.0,30.0,1093.0,35.0,16.35,25.0,2.72,6,1,train,2
341,Qingyuan Fengjing Building 28,10638,33.0,30.0,1097.0,36.0,16.35,25.0,2.72,8,1,train,2
342,Qingyuan Fengjing Building 33,10638,33.0,30.0,1081.0,42.0,16.35,25.0,2.72,4,0,train,2
343,Qingyuan Fengjing Building 25,10638,33.0,60.0,1097.0,34.0,16.35,25.0,2.72,13,1,train,2
345,Reli Company Building 1-1,11438,45.0,40.0,728.0,57.0,17.5,60.17,2.52,2,0,train,0
348,Renhang Family Quarters,11138,18.0,80.0,942.0,53.0,16.8,58.0,2.5,5,1,train,0
350,Home Inn,11338,20.0,55.0,763.0,55.0,17.13,52.67,2.47,8,1,train,0
352,Sanbao Mansion,11640,19.8,66.0,46.0,59.0,19.5,76.5,2.43,13,1,train,1
353,Sanqiaojie Community 16,11338,21.0,15.0,794.0,61.0,17.17,56.33,2.62,2,0,train,0
354,Sanqiaojie Community 29,11338,18.0,10.0,793.0,65.0,17.13,56.0,2.6,2,0,train,0
355,Sanqiaojie Community 9,11338,18.0,10.0,793.0,63.0,17.17,56.33,2.62,2,0,train,0
