SourceRowIndex,Building#,ID,BuildingHeight,BuildingWidth,Altitude,AveNoise,temp,prec,win,NestCount,HigherNestCount,Split
51,Chenguang Jiayuan 10,11840,18.0,55.0,0.0,40.0,18.9,89.5,2.95,7,1,test
52,Chenguang Jiayuan 12,11840,18.0,55.0,0.0,40.0,18.9,89.5,2.95,2,0,test
53,Chenguang Jiayuan 13,11840,18.0,55.0,0.0,40.0,18.9,89.5,2.95,1,0,test
54,Chenguang Jiayuan 14,11840,18.0,60.0,0.0,40.0,18.9,89.5,2.95,10,1,test
55,Chenguang Jiayuan 15,11840,18.0,60.0,0.0,40.0,18.9,89.5,2.95,1,0,test
56,Chenguang Jiayuan 4,11840,18.0,55.0,0.0,40.0,18.9,89.5,2.95,3,0,test
57,Chenguang Jiayuan 8,11840,18.0,60.0,0.0,40.0,18.9,89.5,2.95,2,0,test
58,Chenxi Garden,11438,18.0,69.0,701.0,46.0,17.52,58.83,2.53,6,1,train
59,Chenxin Garden Phase I 12,11340,57.0,50.0,1035.0,57.0,15.03,49.0,3.02,5,1,test
60,Chenxin Garden Phase I 13,11340,48.0,65.0,1035.0,56.0,15.03,49.0,3.02,14,1,test
61,Chenxin Garden Phase I 14,11340,21.0,30.0,1031.0,54.0,15.03,49.0,3.02,12,1,test
62,Chengdong Community,11138,18.0,80.0,921.0,50.0,16.53,59.5,2.43,4,0,train
63,City Garden,11437,20.1,62.5,253.4,50.2,19.3,64.22,2.555,16,1,train
64,Shengdi Lijiang Building 3,11438,36.0,40.0,89.0,60.0,20.12,66.17,2.32,46,1,train
65,Shengdi Lijiang Building 4,11438,54.0,50.0,89.0,71.0,20.12,66.17,2.32,50,1,train
66,Chixin Community Building 22,11340,19.0,60.0,1036.0,46.0,14.98,48.83,3.0,4,0,test
67,Chunfeng Jiayuan,10635,24.0,60.0,1119.0,41.7,17.37,71.5,1.68,2,0,train
68,Cuiyuan Court,11338,78.0,53.0,805.0,53.0,16.85,56.17,2.52,7,1,train
69,Derong Dijing,11739,84.0,25.0,0.0,20.0,19.85,80.5,2.45,24,1,train
70,Derong Garden,11438,63.0,56.0,652.0,50.0,17.8,58.67,2.55,10,1,train
71,Deyejü Garden No.12,11438,21.0,40.0,690.0,57.0,17.77,59.0,2.57,1,0,train
72,Deyejü Garden No.13,11438,21.0,40.0,690.0,57.0,17.77,59.0,2.57,3,0,train
73,Dishuiju Community,11338,18.5,20.0,798.0,30.0,17.1,55.5,2.53,1,0,train
74,Dianzi Chanpin Jianyansuo Family Quarters,11338,21.0,20.0,750.0,60.0,17.08,54.83,2.43,1,0,train
75,Dongcheng Shui'an,11438,21.0,32.0,650.0,60.0,17.75,59.0,2.53,21,1,train
76,Dongcheng Shui'an Building 3,11438,90.0,20.0,615.0,67.0,17.75,59.0,2.53,3,0,train
77,Dongfang Garden B-1,10538,18.0,70.0,1200.76,56.0,16.22,24.83,2.43,4,0,train
78,Dongfang Jiayuan Building 15,10538,18.5,50.0,1212.26,50.0,16.32,24.5,2.53,4,0,train
79,Dongfang Jiayuan Building 16,10538,18.5,60.0,1194.63,58.0,16.32,24.5,2.53,8,1,train
80,Dongfang Mingzhu City 1,12040,93.0,40.0,3.0,73.0,16.97,84.0,4.12,6,1,test
81,Dongfang Mingzhu City 2,12040,93.0,40.0,3.0,73.0,16.97,84.0,4.12,2,0,test
82,Dongfeng Community 1,11639,36.0,70.0,0.0,62.0,20.15,66.83,2.63,8,1,train
83,Dongfeng Community 2,11639,36.0,70.0,0.0,59.0,20.15,66.83,2.63,1,0,train
84,Dongguangli 1,12040,18.0,45.0,6.0,66.0,17.0,87.5,4.15,15,1,test
85,Dongguangli 2,12040,18.0,45.0,6.0,66.0,17.0,87.5,4.15,5,1,test
86,Donghuanli 1,12040,18.0,45.0,5.0,52.0,17.03,87.17,4.1,6,1,test
87,Donghuanli 2,12040,18.0,45.0,5.0,52.0,17.03,87.17,4.1,3,0,test
88,Dongsheng Community Building 9,10638,19.0,50.0,1068.0,56.0,16.25,25.17,2.68,14,1,train
89,Dongxing Street No.50,10437,12.0,60.0,1685.0,51.0,15.08,30.0,2.47,2,0,train
90,Dongyanwu Community,12040,18.0,45.0,1.0,56.0,17.03,87.17,4.1,17,1,test
91,Dongyuan East Area,11438,21.0,25.0,671.0,47.0,17.77,59.0,2.57,8,1,train
92,Erdian Community,11338,39.0,20.0,776.0,51.0,17.17,53.83,2.47,5,1,train
93,Fangzhi Jinchukou Dormitory,11338,21.0,20.0,780.0,62.0,17.1,55.5,2.53,2,0,train
94,Fangzhi Road No.155 Building 2,10437,21.0,40.0,1702.0,34.0,15.05,30.5,2.45,1,0,train
95,Fangzhi Road No.155 Building 1,10437,24.0,20.0,1686.0,50.0,15.05,30.5,2.45,1,0,train
96,Feitian Family Quarters Building 2,10436,18.0,50.0,1525.49,49.0,16.2,43.0,1.77,4,0,train
97,Fenghuang City 10,11738,45.0,70.0,3.0,54.0,20.02,69.33,2.72,7,1,test
98,Fenghuang City 2,11738,45.0,40.0,3.0,51.0,20.03,69.67,2.72,5,1,test
99,Fenghuang City 9,11738,45.0,70.0,3.0,56.0,20.02,69.33,2.72,6,1,test
100,Furong Garden Building 1,10638,18.0,50.0,1068.0,42.0,16.35,25.67,2.65,1,0,train
101,Fumen Xiangxielishe,10635,30.0,21.0,1104.0,46.7,17.37,71.5,1.68,3,0,train
102,Fuxingyuan Building 34,10538,18.0,50.0,1178.56,57.0,15.93,24.5,2.67,1,0,train
103,Fuxingyuan Building 40,10538,18.0,60.0,1179.31,53.0,15.93,24.5,2.67,2,0,train
104,Fuxingyuan Building 46,10538,18.0,60.0,1183.08,54.0,15.93,24.5,2.67,4,0,train
105,Fuxingyuan Building 49,10538,31.0,45.0,1174.75,56.0,15.93,24.5,2.67,1,0,train
106,Fuxingyuan Building 59,10538,31.0,60.0,1167.57,57.0,16.1,24.83,2.48,3,0,train
107,Fufeng Jiayuan,12040,18.0,40.0,1.0,62.0,17.02,86.33,4.08,4,0,test
108,Fuli City No.1,11438,54.0,40.0,670.0,57.0,17.77,59.0,2.57,12,1,train
109,Fuli City No.2,11438,66.0,40.0,670.0,57.0,17.77,59.0,2.57,2,0,train
110,Fuli Jianianhua,11438,78.0,40.0,687.0,54.0,17.7,59.67,2.47,19,1,train
111,Fuqiang Community,11842,18.0,43.0,867.0,63.0,14.23,59.0,2.85,2,0,train
112,Fuyan Hotel,10536,12.0,25.0,1917.0,56.0,12.22,51.33,2.12,1,0,train
113,GreenTree Inn Hotel,11138,18.0,60.0,944.0,60.0,16.63,59.33,2.45,7,1,train
114,Gengjiazhuang Residential Area Building 10,10436,21.0,30.0,1471.0,44.0,16.3,42.83,1.8,1,0,train
115,Gengjiazhuang Residential Area Building 11,10436,18.0,20.0,1502.0,45.0,16.3,42.83,1.8,1,0,train
116,Gengjiazhuang Residential Community Building 1,10436,25.0,30.0,1483.0,33.0,16.3,42.83,1.8,1,0,train
117,Gongnong Road Building 81,10437,18.5,40.0,1671.0,57.0,15.08,30.0,2.47,1,0,train
118,Gonghang Community,10635,20.0,100.0,1169.0,51.0,17.32,71.5,1.68,3,0,train
119,Gonganju Community,11138,18.0,14.0,937.0,45.0,16.77,59.33,2.42,4,0,train
120,Gonglu Community 1,11338,15.0,77.0,777.0,50.0,16.85,56.17,2.52,9,1,train
121,Gonglu Community 2,11338,15.0,77.0,777.0,50.0,16.85,56.17,2.52,3,0,train
122,Gongdianju Community Building 20,10437,42.0,20.0,1687.0,52.0,15.08,30.0,2.47,1,0,train
123,Gulou Shangcheng,11738,76.0,40.0,11.0,59.0,20.0,71.0,2.77,5,1,test
124,Guangshun Garden,12040,21.0,50.0,32.0,72.0,16.93,87.17,4.1,8,1,test
125,Guangyuan Community 1,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,1,0,train
126,Guangyuan Community 2,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,5,1,train
127,Guangyuan Community 3,11842,21.0,60.0,822.0,66.0,14.2,59.17,2.88,2,0,train
128,Guomai Aocheng 1,11537,21.0,17.0,19.0,46.0,20.33,66.67,2.5,11,1,train
129,Guomai Aocheng 2,11537,21.0,17.0,26.0,53.0,20.33,66.67,2.5,15,1,train
130,Guomai Aocheng 3,11537,21.0,17.0,27.0,54.0,20.33,66.67,2.5,9,1,train
131,Guomai Aocheng 4,11537,21.0,17.0,30.0,54.0,20.33,66.67,2.5,11,1,train
132,Guomai Aocheng 5,11637,21.0,17.0,30.0,55.0,20.18,69.0,2.67,10,1,train
133,Guomai Aocheng 6,11539,21.0,17.0,38.0,51.0,19.48,66.33,2.45,8,1,test
134,Guomai Aocheng 7,11537,21.0,17.0,41.0,53.0,20.33,66.67,2.5,5,1,train
135,Guomai Aocheng 8,11537,21.0,17.0,25.0,75.0,20.33,66.67,2.5,3,0,train
136,Guomai Aocheng 9,11537,21.0,17.0,29.0,69.0,20.33,66.67,2.5,9,1,train
137,Hailongwan Building 6,11438,81.0,70.0,55.0,57.0,20.17,66.83,2.32,21,1,train
138,Haitian Hotel 1,10536,21.0,75.0,1867.0,44.0,12.27,51.83,2.02,4,0,train
139,Haitian Hotel 2,10536,21.0,75.0,1867.0,51.0,12.27,51.83,2.02,2,0,train
140,Hehui Xinquanwan Building 10,11340,44.0,60.0,1046.0,50.0,14.87,46.33,3.03,8,1,test
141,Hehui Xinquanwan Building 8,11340,53.0,95.0,1032.0,55.0,14.87,46.33,3.03,10,1,test
142,Heping Street No.106,11138,18.0,50.0,907.0,62.0,16.8,58.17,2.48,5,1,train
143,Hedong Community,11138,21.0,50.0,925.0,49.0,16.7,59.83,2.43,12,1,train
144,Hexia Xincun,11438,18.0,25.0,681.0,44.0,17.65,59.0,2.58,8,1,train
145,Hexia Xincun 10,11438,18.0,25.0,682.0,49.0,17.65,58.83,2.58,12,1,train
146,Hengchang Building 3,11241,18.5,70.0,1035.0,39.0,14.88,38.83,3.15,7,1,test
147,Hengchang Community Building 24,11241,18.5,50.0,1068.0,52.0,14.83,39.0,3.13,7,1,test
148,Hengchang Community Building 6,11241,18.5,90.0,1046.0,40.0,14.88,38.83,3.15,3,0,test
149,Hengchang Community Building 3,11241,18.5,70.0,1035.0,39.0,14.88,38.83,3.15,3,0,test
150,Hengchang Community Building 1,11241,18.5,70.0,1034.0,39.0,14.88,38.83,3.15,4,0,test
151,Hengda Huafu,11138,102.0,58.0,986.0,48.0,16.6,60.0,2.43,7,1,train
152,Hengda Xincheng Building 1,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,2,0,train
153,Hengda Xincheng Building 3,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,3,0,train
154,Hengda Xincheng Building 4,11438,66.0,40.0,695.0,53.0,17.7,59.67,2.47,5,1,train
155,Honghe Community,11438,90.0,40.0,95.0,66.0,20.13,66.17,2.32,19,1,train
156,Hongqiaoli,12040,15.0,30.0,4.0,65.0,17.0,87.5,4.15,3,0,test
157,Hongqiao Xinju,12040,18.0,30.0,2.0,73.0,17.03,87.83,4.12,5,1,test
158,Hongyuan Community Building 3,11241,18.0,60.0,1047.0,27.0,14.88,38.83,3.15,4,0,test
159,Hongyun Jiayuan 1,11738,72.0,25.0,-1.0,49.0,20.02,71.5,2.75,10,1,test
160,Hongyun Jiayuan 2,11738,72.0,25.0,-1.0,47.0,20.02,71.5,2.75,13,1,test
161,Houwang Street Building 8,11338,18.0,110.0,782.0,50.0,17.13,52.67,2.47,2,0,train
162,Hutie Jiayuan Area C Building 22,11841,81.0,50.0,1054.0,48.0,15.63,71.83,2.67,5,1,test
163,Hutie Jiayuan Area D Building 13,11241,81.0,50.0,1051.0,44.0,14.32,36.5,3.13,3,0,test
164,Hutie Jiayuan Area D Building 14,11241,81.0,50.0,1048.0,47.0,14.32,36.5,3.13,2,0,test
165,Hutie Jiayuan Area E Building 27,11241,51.0,50.0,1057.0,38.0,14.32,36.5,3.13,2,0,test
166,Huafa Xincheng Building 18,11041,55.0,70.0,1072.0,56.0,15.47,38.0,3.13,3,0,train
167,Huafu Mingdi 1,11538,78.0,50.0,57.0,54.0,20.15,66.0,2.42,13,1,train
168,Huafu Mingdi 2,11538,78.0,50.0,57.0,54.0,20.15,66.0,2.42,9,1,train
169,Huaxia Dijiu Garden,11740,36.0,20.0,8.0,30.0,19.82,81.17,2.47,13,1,train
170,Huaxin Community,11238,81.0,20.0,797.0,48.0,17.3,56.67,2.33,3,0,test
171,Huanbao Community,11338,32.0,70.0,781.0,49.0,17.08,54.83,2.43,7,1,train
172,Huanquan Community,11340,19.6,60.0,1094.0,59.0,14.87,46.33,3.03,4,0,test
173,Huanghe Garden Building 12,10538,18.0,40.0,1187.38,49.0,15.92,24.17,2.67,2,0,train
174,Huanghe Garden Building 14,10538,15.0,80.0,1179.73,43.0,16.02,24.17,2.67,2,0,train
175,Huanghe Garden Building 30,10538,15.0,60.0,1184.99,52.0,15.92,24.17,2.67,1,0,train
176,Huanghe Garden Building 35,10538,18.0,50.0,1179.16,51.0,15.92,24.17,2.67,2,0,train
177,Huanghe Garden Building 37,10538,18.0,60.0,1202.14,44.0,15.92,24.17,2.67,2,0,train
178,Huanghe Garden Building 39,10538,18.0,60.0,1187.98,42.0,15.92,24.17,2.67,1,0,train
179,Huanghe Garden Building 41,10538,18.0,60.0,1181.13,55.0,16.02,24.17,2.67,1,0,train
180,Huanghe Garden Building 51,10538,18.0,70.0,1192.59,38.0,16.02,24.17,2.67,2,0,train
181,Huanghe Garden Building 53,10538,18.0,30.0,1190.82,43.0,16.02,24.17,2.67,1,0,train
182,Huanghe Garden Building 58,10538,18.0,60.0,1192.37,45.0,15.92,24.17,2.67,4,0,train
183,Huanghe Garden Building 59,10538,18.0,60.0,1191.43,43.0,15.92,24.17,2.67,3,0,train
184,Huanghe Garden Building 86,10538,18.0,60.0,1181.45,56.0,15.92,24.17,2.67,2,0,train
185,Huifeng Garden Building 12,10638,18.5,80.0,1087.0,45.0,16.35,25.67,2.65,2,0,train
186,Huifengyuan Court,11338,95.0,120.0,828.0,54.0,16.97,52.33,2.47,10,1,train
187,Huihua College Dormitory Building 8,11438,39.0,40.0,76.0,58.0,20.48,68.5,2.53,11,1,train
188,Huiquan Square,11340,51.0,90.0,1040.0,52.0,14.87,46.33,3.03,4,0,test
189,Huochang Road Community Building 122,10437,18.0,30.0,1698.25,45.0,14.87,30.17,2.45,3,0,train
190,Huochang Road Community Building 138,10437,18.0,60.0,1700.1,49.0,14.87,30.17,2.45,4,0,train
191,Huochang Road Community Building 96,10437,18.0,40.0,1696.74,56.0,14.87,30.17,2.45,4,0,train
192,Jixiang Ju,11138,21.0,35.0,939.0,52.0,16.77,59.33,2.42,8,1,train
193,Jixiangyuan Court,11438,93.0,49.0,716.0,52.0,17.8,58.67,2.55,7,1,train
194,Jixiang Meidi North Area,11338,92.0,125.0,786.0,54.0,16.97,52.67,2.47,9,1,train
195,Jixiang Meidi South Area,11338,92.0,50.0,794.0,53.0,16.97,52.33,2.47,1,0,train
196,Jishengju Family Building,11842,21.0,35.0,856.0,67.0,14.2,59.17,2.88,1,0,train
197,Jiashuyuan (Family Quarters),11138,18.0,50.0,931.0,54.0,16.77,59.17,2.43,7,1,train
198,Jiayuan Community Building 1,10638,18.0,12.0,1078.0,43.0,16.23,25.67,2.7,3,0,train
199,Jiayuan Community Building 20,10638,18.0,50.0,1097.0,44.0,16.23,25.67,2.7,4,0,train
200,Jiayuan Community Building 2,10638,18.0,70.0,1090.0,44.0,16.23,25.67,2.7,6,1,train
201,Jianchayuan Community,11338,30.0,64.0,776.0,47.0,17.07,52.83,2.47,7,1,train
202,Jianshuli 1,12040,15.0,35.0,0.0,68.0,17.0,87.5,4.15,2,0,test
203,Jiangnan Shuixiang Area A Building 3,10638,20.0,80.0,1106.0,46.0,16.35,25.67,2.67,6,1,train
204,Jiangnan Shuixiang Area B Building 16,10638,15.0,90.0,1085.0,46.0,16.37,25.5,2.72,3,0,train
205,Jiangnan Shuixiang Area B Building 17,10638,19.0,110.0,1078.0,51.0,16.37,25.5,2.72,7,1,train
206,Jiangnan Shuixiang Area B Building 5,10638,32.0,100.0,1081.0,51.0,16.37,25.5,2.72,4,0,train
207,Jiaoyuju (Education Bureau),11138,18.0,63.0,915.0,65.0,16.77,59.17,2.43,5,1,train
208,Jindi Jiajing Garden Factory Building,11438,9.0,20.0,683.0,64.0,17.7,60.33,2.53,1,0,train
209,Jinhe Community,11538,84.0,40.0,67.0,51.0,20.18,66.17,2.43,17,1,train
210,Jinlongwan,12040,18.0,65.0,2.0,53.0,16.35,83.67,4.1,9,1,test
211,Jinlun Yiyuan Community Building 1,10436,24.0,80.0,1506.0,55.0,15.22,44.17,1.92,1,0,train
212,Jinlun Yiyuan Community Building G7,10436,48.0,30.0,1508.0,55.0,15.22,44.17,1.92,2,0,train
213,Jinrongjie Community,11741,18.0,37.0,647.0,54.0,15.12,63.33,2.72,3,0,train
214,Jinxiu Huating,11842,19.0,36.66666667,846.3333333,53.33333333,14.2,59.17,2.88,5,1,train
215,Jinxiuyuan 1,11339,18.0,70.0,1042.0,52.0,15.0,55.83,2.78,5,1,train
216,Jinxiuyuan 2,11339,18.0,70.0,1042.0,52.0,15.0,55.83,2.78,4,0,train
217,Jinze Yuan Old 6,11338,21.0,20.0,779.0,42.0,17.18,56.83,2.65,3,0,train
218,Jinsong Xinjing,11338,82.5,30.0,785.0,53.0,17.08,55.83,2.55,5,1,train
219,Jingdu Huayuan,11338,45.0,80.0,791.0,59.0,16.97,52.33,2.47,4,0,train
220,Jinghuayuan Building 2,10638,21.0,60.0,1094.0,56.0,16.35,25.83,2.68,20,1,train
221,Jingtai Community 1,11841,18.0,50.0,598.0,52.0,15.83,65.33,2.63,5,1,test
222,Jingtai Community 2,11841,18.0,50.0,598.0,55.0,15.83,65.33,2.63,8,1,test
223,Jingtai Community 3,11841,18.0,50.0,598.0,58.0,15.83,65.33,2.63,2,0,test
224,Jingtai Community 4,11841,18.0,50.0,598.0,57.33333333,15.83,65.33,2.63,8,1,test
225,Jingyi Community,11841,18.0,49.0,602.0,54.0,15.78,64.67,2.62,15,1,test
226,Ju'an Community Building 26,10436,18.0,70.0,1496.01,49.0,16.12,43.0,1.82,5,1,train
227,Jun'anli 2,11840,18.0,67.0,13.0,40.0,18.92,89.0,2.83,1,0,test
228,Jun'an Community,12040,18.0,45.0,5.0,63.0,17.03,87.17,4.1,6,1,test
229,Junlei Alley,10635,21.0,45.0,1108.0,54.0,17.32,71.5,1.68,4,0,train
230,Kaiyue Hotel,10536,19.0,20.0,1879.0,51.0,12.22,51.33,2.12,2,0,train
231,Kangda Community,11438,21.0,54.0,713.0,50.0,17.52,58.83,2.53,7,1,train
232,Kangjuyuan Court,11841,18.0,75.0,524.0,50.8,15.83,65.33,2.63,30,1,test
233,Kangmin Garden Building 11,10638,19.0,70.0,1072.0,56.0,16.35,26.0,2.63,6,1,train
234,Kangmin Garden Building 16,10638,19.0,70.0,1096.0,49.0,16.35,26.0,2.63,4,0,train
235,Kangmin Garden Building 8,10638,19.0,70.0,1077.0,57.0,16.35,26.0,2.63,3,0,train
236,Kemingyuan Court,11438,21.0,61.0,755.0,47.0,17.47,60.33,2.48,8,1,train
237,Keyunzhan Family Quarters Building 1,10436,23.0,60.0,1494.04,48.0,16.17,43.5,1.7,8,1,train
238,Kongtong District Water and Soil Conservation Bureau,10736,21.0,27.0,1302.0,42.9,15.03,60.5,2.08,3,0,train
239,Kuanxiangzi Community Building 3,11241,18.0,80.0,1036.0,50.0,14.88,38.83,3.15,7,1,test
240,Kuangjian Gongsi Family Quarters,11340,19.0,80.0,1094.0,57.0,14.95,49.5,3.03,4,0,test
241,Lanshi Run'an Community Building 761,10436,24.0,80.0,1502.16,47.0,16.2,40.67,2.15,7,1,train
242,Lanshi Run'an Community Building 833,10436,24.0,80.0,1493.94,49.0,16.2,40.67,2.15,6,1,train
243,Lantian Jiayuan,10635,47.5,45.0,1242.0,53.0,17.18,71.0,1.73,1,0,train
244,Lantie Fuyuan Building 46,10436,24.0,60.0,1496.0,45.0,16.2,43.17,1.82,2,0,train
245,Lantie Fuyuan Community Building 47,10436,24.0,40.0,1487.0,48.0,16.2,43.17,1.82,1,0,train
246,Lantie Fuyuan Community Building 50,10436,24.0,50.0,1480.0,48.0,16.2,43.17,1.82,2,0,train
247,Lantie Xinle Community Building 45,10436,21.5,30.0,1496.0,45.0,16.2,43.17,1.82,1,0,train
248,Lantie Xinle Community Building 46,10436,18.0,60.0,1474.0,51.0,16.2,43.17,1.82,1,0,train
249,Lantie Xinle Community Building 48,10436,18.0,10.0,1487.0,51.0,16.2,43.17,1.82,1,0,train
250,Lantie Xinle Community Building 50,10436,18.0,60.0,1474.5,47.0,16.2,43.17,1.82,2,0,train
251,Lantie Xinle Community Building 60,10436,24.0,50.0,1479.0,42.0,16.2,43.17,1.82,1,0,train
252,Lanyuan Community,11640,21.0,100.0,52.0,66.0,19.5,77.83,2.47,18,1,train
253,Lanzhou University Family Quarters Building 22,10436,55.0,30.0,1510.15,66.0,16.28,42.83,1.8,11,1,train
254,Lanzhou University Graduate Dormitory Building 4,10436,21.0,50.0,1481.24,66.0,16.2,43.0,1.77,5,1,train
255,Lanjun Lüdu Building 5,11438,24.0,40.0,47.0,51.0,19.97,65.83,2.3,19,1,train
256,Laodong Garden Building 3,11241,15.5,80.0,1047.0,45.0,14.32,36.5,3.13,1,0,test
257,Laodong Garden Building 4,11241,18.5,110.0,1048.0,39.0,14.32,36.5,3.13,4,0,test
258,Laodong Garden Building 8,11241,12.0,100.0,1047.0,42.0,14.32,36.5,3.13,1,0,test
259,Liliu Residential Community,11138,18.0,70.0,947.0,54.0,16.8,58.0,2.5,7,1,train
260,Lihai Mingyuan,11841,51.0,45.0,547.0,73.0,15.83,65.33,2.63,2,0,test
261,Lijinyuan Building 9,10638,20.5,40.0,1090.0,56.0,16.35,25.67,2.67,5,1,train
262,Lijingyuan Building 4,10538,19.0,50.0,1196.47,49.0,16.42,24.17,2.73,3,0,train
263,Lishui Huating 121,11738,30.0,50.0,2.0,56.0,19.98,70.33,2.73,8,1,test
264,Lishui Huating 122,11738,30.0,50.0,2.0,56.0,19.98,70.33,2.73,7,1,test
265,Lishui Huating 151,11738,30.0,70.0,2.0,50.0,20.0,69.33,2.7,9,1,test
